Branch,CPU,RAM,Storage,GPU,Screen,Pin,Status,Price
Dell,Core i7-6820HQ,8 GB,SSD 256GB,Nvidia Quadro M2200,15.6 inch Full HD,6 Cell,Old,9.500.000
Dell,Core i7-7820HQ,8 GB,SSD 256GB,Nvidia Quadro M1200,15.6 inch Full HD,6 Cell,Old,9.900.000
Dell,Xeon E3 1545M,8 GB,SSD 256GB,Nvidia Quadro M1200,15.6 inch Full HD,6 Cell,Old,10.400.000
Dell,Core i7-7820HQ,8 GB,SSD 256GB,Nvidia Quadro M2200,15.6 inch Full HD,6 Cell,Old,10.600.000
Dell,Xeon E3 1545M,8 GB,SSD 256GB,Nvidia Quadro M2200,15.6 inch Full HD,6 Cell,Old,11.100.000
Dell,Core i7-6820HQ,RAM 16GB + SSD 512GB,Nvidia Quadro M1000,15.6 inch Full HD,99%,6 Cell,Old,9.900.000
Dell,Intel Xeon E3 1505M,RAM 16GB + SSD 512GB,Nvidia Quadro M1000,15.6 inch Full HD,99%,6 Cell,Old,10.800.000
Lenovo,Core i7-7700HQ,8 GB,SSD 256GB,Nvidia Quadro M1200,15.6 inch Full HD,6 Cell,Old,10.900.000
Lenovo,Core i7-7700HQ,16 GB,SSD 256GB,Nvidia Quadro M1200,15.6 inch Full HD,6 Cell,Old,11.400.000
Lenovo,Core i7-7700HQ,8 GB,SSD 256GB,Nvidia Quadro M2200,15.6 inch Full HD,6 Cell,Old,12.400.000
Lenovo,Core i7-7700HQ,16 GB,SSD 256GB,Nvidia Quadro M2200,15.6 inch Full HD,6 Cell,Old,12.900.000
Dell,Core i7-9850H,16 GB,SSD 512GB,Nvidia Quadro T1000 4GB,15.6 inch Full HD,56Wh,Old,15.800.000
Dell,Core i7-9750H,16 GB,SSD 512GB,Nvidia Quadro T2000 4GB,15.6 inch Full HD,56Wh,Old,16.800.000
Dell,Core i7-9750H,16 GB,SSD 512GB,Nvidia Quadro T2000 4GB,15.6 inch 4K,56Wh,Old,17.700.000
Dell,Core i9-9880H,16 GB,SSD 512GB,Nvidia Quadro T2000 4GB,15.6 inch Full HD,56Wh,Old,18.700.000
HP,Core i5-8350U,8 GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,3 Cell 50 WHr,Old,7.200.000
HP,Core i7-8665U,8 GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,3 Cell 50 WHr,Old,7.700.000
