Branch,CPU,RAM,Storage,GPU,Screen,Pin,Status,Price
Dell,Core i7-1360P,16 GB,SSD 1TB,Intel Iris Xe Graphics,14 inch 2.5K,4-Cell Battery,New,19.900.000
Dell,Core i5-1235U,8 GB,SSD 512GB,Intel Iris Xe Graphics,14 inch FHD+ cảm ứng,4 Cell 54 Wh integrated,New,16.900.000
Dell,Core i5-12500H,16 GB,SSD 512GB,Intel Iris Xe Graphics,14 inch 2.2K,4 Cell 54 Wh integrated,New,17.800.000
Dell,Core i7-1255U,16 GB,SSD 512GB,Intel Iris Xe Graphics,14 inch FHD+ cảm ứng,4 Cell 54 Wh integrated,New,19.500.000
Dell,Core i7-1255U,16 GB,SSD 512GB,Intel Iris Xe Graphics,14 inch FHD+ cảm ứng,4 Cell 54 Wh integrated,New,21.500.000
Dell,Core i7-13620H,16 GB,SSD 1TB,Intel Iris Xe Graphics,14 inch 2.5K,4 Cell 64 Wh integrated,New,19.900.000
Macbook,8 nhân GPU,16 nhân Neural Engine,8 GB,SSD 256GB,8 nhân GPU,4 Cell 64 Wh integrated,New,21.900.000
Macbook,8 nhân GPU,16 nhân Neural Engine,8 GB,SSD 256GB,8 nhân GPU,4 Cell 64 Wh integrated,New,26.500.000
MacBook,Apple M2,8 GB,SSD 256GB,10 nhân GPU,13.3 inch (2560x1600)pixel,10 tiếng,New,22.990.000
MacBook,Apple M2,8 GB,SSD 256GB,10 nhân GPU,13.3 inch (2560x1600)pixel,10 tiếng,New,29.600.000
Dell,Core i5-1240P,8 GB,SSD 512GB,Intel Iris Xe Graphics,13.4 inch FHD+,60 Wh Lithium-Ion,New,23.400.000
Dell,Core i5-1240P,16 GB,SSD 512GB,Intel Iris Xe Graphics,13.4 inch Full HD cảm ứng,60 Wh Lithium-Ion,New,24.300.000
Dell,Core i7-1260P,16 GB,SSD 512GB,Intel Iris Xe Graphics,13.4 inch Full HD cảm ứng,60 Wh Lithium-Ion,New,28.800.000
Dell,Core i7-1260P,32 GB,SSD 1TB,Intel Iris Xe Graphics,13.4 inch Full HD,60 Wh Lithium-Ion,New,37.500.000
Dell,Core i7-13620H,16 GB,SSD 1TB,Intel UHD Graphics,16 inch 2.5K,"6 Cell, 86 Wh",New,23.490.000
Asus,Core i5-13500H,8 GB,SSD 512GB,Intel Iris Xe Graphics,14.5 inch 2K+,70 WHrs,New,15.000.000
Dell,Core i5-1335U,8 GB,SSD 512GB,Intel Iris Xe Graphics,14 inch Full HD cảm ứng,4 Cell 54 Wh,New,15.900.000
Lenovo,AMD Ryzen 5-7535HS,8 GB,SSD 512GB,Nvidia GeForce RTX 2050 4GB,15.6 inch Full HD,Integrated 45Wh,New,15.700.000
Lenovo,Core i5-12450H,8 GB,SSD 512GB,Nvidia GeForce RTX 3050 6GB,15.6 inch Full HD,Integrated 60Wh,New,18.900.000
Lenovo,Core i5-13420H,8 GB,SSD 1TB,Nvidia GeForce RTX 3050 6GB,15.6 inch Full HD,Integrated 60Wh,New,19.500.000
Lenovo,Ryzen 7-7840HS,8 GB,SSD 512GB,Nvidia GeForce RTX 4050 6GB,15.6 inch Full HD,Integrated 60Wh,New,20.500.000
Dell,Core i5-13450HX,8 GB,SSD 512GB,Nvidia GeForce RTX 3050 6GB,15.6 inch Full HD,3 Cell 56WHrs,New,20.900.000
Dell,Core i5-13450HX,16 GB,SSD 512GB,Nvidia GeForce RTX 3050 6GB,15.6 inch Full HD,3 Cell 56WHrs,New,21.600.000
Dell,Core i5-13450HX,16 GB,SSD 512GB,Nvidia GeForce RTX 4050 6GB,15.6 inch Full HD,3 Cell 56WHrs,New,23.600.000
Dell,Core i7-13650HX,8 GB,SSD 1TB,Nvidia GeForce RTX 4050 6GB,15.6 inch Full HD,3 Cell 56WHrs,New,24.900.000
Dell,Core i7-13650HX,16 GB,SSD 1TB,Nvidia GeForce RTX 4060 8GB,15.6 inch Full HD,3 Cell 56WHrs,New,28.900.000
Acer,Core i5-13500HX,16 GB,SSD 512GB,Nvidia GeForce RTX 4050 6GB,16 inch Full HD,"4-cell, 90 Wh",New,21.500.000
Acer,Core i5-13500HX,16 GB,SSD 512GB,Nvidia GeForce RTX 4050 6GB,16 inch Full HD,"4-cell, 90 Wh",New,24.200.000
Acer,Core i7-13700HX,16 GB,SSD 512GB,Nvidia GeForce RTX 4050 6GB,16 inch Full HD,"4-cell, 90 Wh",New,25.700.000
Acer,Core i7-13700HX,16 GB,SSD 512GB,Nvidia GeForce RTX 4050 6GB,16 inch Full HD,"4-cell, 90 Wh",New,28.900.000
Acer,Core i9-13900HX,16 GB,SSD 1TB,Nvidia GeForce RTX 4060 8GB,16 inch 2.5K,"4-cell, 90 Wh",New,32.800.000
Dell,Core i5-1245U,16 GB,SSD 256GB,Intel Iris Xe Graphics,15.6 inch Full HD,4 Cell 58 Whr,New,24.500.000
Lenovo,Core i7-1185G7,16 GB,SSD 512GB,Intel Iris Xe Graphics,14 inch Full HD cảm ứng,4Cell 57WHrs,New,28.900.000
Lenovo,Core i7-1185G7,16 GB,SSD 512GB,Intel Iris Xe Graphics,14 inch Full HD cảm ứng,4Cell 57WHrs,New,32.500.000
Dell,Core i7-12700H,16 GB,SSD 512GB,Nvidia GeForce RTX 3050 4GB,15.6 inch FHD+,86WHr,New,30.900.000
Dell,Core i5-12500H,16 GB,SSD 512GB,Nvidia GeForce RTX 3050Ti 4GB,17.0 inch FHD+,"6 Cell, 97 Wh",New,67.600.000
HP,Core i5-1135G7,8 GB,SSD 256GB,Intel Iris Xe Graphics,14 inch Full HD,3 cell 45 Wh,New,11.500.000
HP,Core i5-1145G7,16 GB,SSD 512GB,Intel Iris Xe Graphics,13.3 inch Full HD,"3 Cell, 45WHr",New,11.900.000
Asus,Core i5-1135G7,8 GB,SSD 256GB,Intel Iris Xe Graphics,14 inch Full HD,3 cell 42 Wh,New,12.900.000
Asus,Core i5-1240P,16 GB,SSD 512GB,Intel Iris Xe Graphics,15.6 inch Full HD,3 Cells 42Whrs,New,13.500.000
Asus,AMD Ryzen 7-5800H,8 GB,SSD 512GB,AMD Radeon Graphics,14 inch WQXGA+,"63WHrs, 3S1P, 3-cell Li-ion",New,13.900.000
Dell,Core i5-1335U,16 GB,SSD 512GB,Intel UHD Graphics,15.6 inch Full HD,"3-cell Li-ion, 41 Wh",New,14.600.000
Dell,Core i7-1355U,8 GB,SSD 512GB,Intel UHD Graphics,15.6 inch Full HD,"3-cell Li-ion, 41 Wh",New,17.600.000
Dell,AMD Ryzen 5-7530U,8 GB,SSD 512GB,AMD Radeon Graphics,16.0 inch FHD+,4 Cell 54 Wh integrated,New,15.900.000
Asus,Core i5-1240P,16 GB,SSD 512GB,Intel Iris Xe Graphics,14 inch 2.8K,4 Cells 75WHrs,New,15.900.000
Asus,Core i7-1260P,16 GB,SSD 512GB,Intel Iris Xe Graphics,14 inch 2.8K,4 Cells 75WHrs,New,17.800.000
HP,Core i5-1335U,16 GB,SSD 512GB,Intel Iris Xe Graphics,14 inch Full HD,3-cell 51 Wh,New,17.800.000
HP,Core i7-1355U,16 GB,SSD 512GB,Intel Iris Xe Graphics,15.6 inch Full HD cảm ứng,"4-cell, 55 Wh Li-ion polymer",New,20.900.000
